batch,num,brand,name,url,idGuess,existingId,status
W04,69,"Chanel","Coromandel Eau de Parfum","/perfume/Chanel/Coromandel-Eau-de-Parfum-41783.html","chanel-coromandel-eau-de-parfum","chanel-coco-mademoiselle-edp",OK_EXISTING
W04,70,"Givenchy","Organza","/perfume/Givenchy/Organza-4.html","givenchy-organza","givenchy-gentleman-reserve-privee",OK_EXISTING
W04,71,"Nishane","Hundred Silent Ways","/perfume/Nishane/Hundred-Silent-Ways-37602.html","nishane-hundred-silent-ways","",NEW_WRITE
W04,72,"Giorgio Armani","Si","/perfume/Giorgio-Armani/Si-18453.html","giorgio-armani-si","armani-stronger-with-you-intensely",OK_EXISTING
W04,73,"Jean Paul Gaultier","La Belle Le Parfum","/perfume/Jean-Paul-Gaultier/La-Belle-Le-Parfum-65175.html","jean-paul-gaultier-la-belle-le-parfum","",NEW_WRITE
W04,74,"Yves Saint Laurent","Cinema","/perfume/Yves-Saint-Laurent/Cinema-92.html","yves-saint-laurent-cinema","",NEW_WRITE
W04,75,"Carolina Herrera","Good Girl","/perfume/Carolina-Herrera/Good-Girl-39681.html","carolina-herrera-good-girl","carolina-herrera-good-girl",OK_EXISTING
W04,76,"Dior","Diorissimo","/perfume/Dior/Diorissimo-224.html","dior-diorissimo","",NEW_WRITE
W04,77,"Maison Francis Kurkdjian","Oud Satin Mood","/perfume/Maison-Francis-Kurkdjian/Oud-Satin-Mood-30352.html","maison-francis-kurkdjian-oud-satin-mood","maison-francis-kurkdjian-gentle-fluidity-gold",OK_EXISTING
W04,78,"Guerlain","Samsara Extrait","/perfume/Guerlain/Samsara-Extrait-25318.html","guerlain-samsara-extrait","",NEW_WRITE
W04,79,"Chanel","Chanel No 19 Poudre","/perfume/Chanel/Chanel-No-19-Poudre-12424.html","chanel-chanel-no-19-poudre","chanel-coco-mademoiselle-edp",OK_EXISTING
W04,80,"Zadig Voltaire","This is Her","/perfume/Zadig-Voltaire/This-is-Her-39358.html","zadig-voltaire-this-is-her","",NEW_WRITE
M05,81,"Xerjoff","Torino21","/perfume/Xerjoff/Torino21-70424.html","xerjoff-torino21","xerjoff-erba-pura",OK_EXISTING
M05,82,"Tom Ford","Tuscan Leather","/perfume/Tom-Ford/Tuscan-Leather-1849.html","tom-ford-tuscan-leather","tom-ford-noir-extreme",OK_EXISTING
M05,83,"Bvlgari","Bvlgari Man In Black","/perfume/Bvlgari/Bvlgari-Man-In-Black-26358.html","bvlgari-bvlgari-man-in-black","bvlgari-man-in-black",OK_EXISTING
M05,84,"Dolce Gabbana","Light Blue Eau Intense Pour Homme","/perfume/Dolce-Gabbana/Light-Blue-Eau-Intense-Pour-Homme-44035.html","dolce-gabbana-light-blue-eau-intense-pour-homme","dolce-gabbana-the-one-edp",OK_EXISTING
M05,85,"Yves Saint Laurent","La Nuit de L Homme Bleu Electrique","/perfume/Yves-Saint-Laurent/La-Nuit-de-L-Homme-Bleu-Electrique-67997.html","yves-saint-laurent-la-nuit-de-l-homme-bleu-electrique","",NEW_WRITE
M05,86,"Guerlain","Habit Rouge Eau de Toilette","/perfume/Guerlain/Habit-Rouge-Eau-de-Toilette-16.html","guerlain-habit-rouge-eau-de-toilette","",NEW_WRITE
M05,87,"Chanel","Allure Homme","/perfume/Chanel/Allure-Homme-523.html","chanel-allure-homme","",NEW_WRITE
M05,88,"Prada","Luna Rossa Black","/perfume/Prada/Luna-Rossa-Black-48682.html","prada-luna-rossa-black","prada-luna-rossa-carbon",OK_EXISTING
M05,89,"Tom Ford","Noir Extreme Parfum","/perfume/Tom-Ford/Noir-Extreme-Parfum-75489.html","tom-ford-noir-extreme-parfum","tom-ford-noir-extreme",OK_EXISTING
M05,90,"Parfums de Marly","Carlisle","/perfume/Parfums-de-Marly/Carlisle-33514.html","parfums-de-marly-carlisle","parfums-de-marly-delina",OK_EXISTING
M05,91,"Versace","Eros Flame","/perfume/Versace/Eros-Flame-52180.html","versace-eros-flame","versace-eros-edp",OK_EXISTING
M05,92,"Dior","Sauvage","/perfume/Dior/Sauvage-31861.html","dior-sauvage","dior-sauvage-edp",OK_EXISTING
M05,93,"Louis Vuitton","L Immensite","/perfume/Louis-Vuitton/L-Immensite-49751.html","louis-vuitton-l-immensite","louis-vuitton-imagination",OK_EXISTING
M05,94,"Louis Vuitton","Ombre Nomade","/perfume/Louis-Vuitton/Ombre-Nomade-49755.html","louis-vuitton-ombre-nomade","louis-vuitton-imagination",OK_EXISTING
M05,95,"Creed","Absolu Aventus","/perfume/Creed/Absolu-Aventus-106624.html","creed-absolu-aventus","",NEW_WRITE
M05,96,"Acqua di Parma","Acqua di Parma Colonia","/perfume/Acqua-di-Parma/Acqua-di-Parma-Colonia-1681.html","acqua-di-parma-acqua-di-parma-colonia","acqua-di-gio-profondo",OK_EXISTING
M05,97,"Lalique","Encre Noire A L Extreme","/perfume/Lalique/Encre-Noire-A-L-Extreme-32356.html","lalique-encre-noire-a-l-extreme","",NEW_WRITE
M05,98,"Giorgio Armani","Acqua di Gio Profondo","/perfume/Giorgio-Armani/Acqua-di-Gio-Profondo-59532.html","giorgio-armani-acqua-di-gio-profondo","acqua-di-gio-profondo",OK_EXISTING
M05,99,"Azzaro","The Most Wanted Parfum","/perfume/Azzaro/The-Most-Wanted-Parfum-73664.html","azzaro-the-most-wanted-parfum","azzaro-the-most-wanted-parfum",OK_EXISTING
M05,100,"Parfums de Marly","Sedley","/perfume/Parfums-de-Marly/Sedley-56273.html","parfums-de-marly-sedley","parfums-de-marly-delina",OK_EXISTING
W05,81,"Cartier","La Panthere","/perfume/Cartier/La-Panthere-23295.html","cartier-la-panthere","",NEW_WRITE
W05,82,"Kayali Fragrances","Vanilla","/perfume/Kayali-Fragrances/Vanilla-28-52616.html","kayali-fragrances-vanilla","",NEW_WRITE
W05,83,"Initio Parfums Prives","Musk Therapy","/perfume/Initio-Parfums-Prives/Musk-Therapy-66097.html","initio-parfums-prives-musk-therapy","parfums-de-marly-delina",OK_EXISTING
W05,84,"Chanel","Coco Eau de Toilette","/perfume/Chanel/Coco-Eau-de-Toilette-31353.html","chanel-coco-eau-de-toilette","chanel-coco-mademoiselle-edp",OK_EXISTING
W05,85,"Chanel","Chanel No 5 Eau de Toilette","/perfume/Chanel/Chanel-No-5-Eau-de-Toilette-10856.html","chanel-chanel-no-5-eau-de-toilette","chanel-coco-mademoiselle-edp",OK_EXISTING
W05,86,"Versace","Crystal Noir","/perfume/Versace/Crystal-Noir-631.html","versace-crystal-noir","versace-eros-edp",OK_EXISTING
W05,87,"Yves Saint Laurent","Rive Gauche","/perfume/Yves-Saint-Laurent/Rive-Gauche-96.html","yves-saint-laurent-rive-gauche","",NEW_WRITE
W05,88,"Guerlain","L Heure Bleue Eau de Toilette","/perfume/Guerlain/L-Heure-Bleue-Eau-de-Toilette-41153.html","guerlain-l-heure-bleue-eau-de-toilette","",NEW_WRITE
W05,89,"Frederic Malle","Carnal Flower","/perfume/Frederic-Malle/Carnal-Flower-1024.html","frederic-malle-carnal-flower","",NEW_WRITE
W05,90,"Guerlain","L Instant de Guerlain","/perfume/Guerlain/L-Instant-de-Guerlain-51.html","guerlain-l-instant-de-guerlain","",NEW_WRITE
W05,91,"Hermes","24 Faubourg","/perfume/Hermes/24-Faubourg-27.html","hermes-24-faubourg","",NEW_WRITE
W05,92,"Lolita Lempicka","Lolita Lempicka Le Parfum","/perfume/Lolita-Lempicka/Lolita-Lempicka-Le-Parfum-2023-82245.html","lolita-lempicka-lolita-lempicka-le-parfum","",NEW_WRITE
W05,93,"Dior","Hypnotic Poison Eau de Parfum","/perfume/Dior/Hypnotic-Poison-Eau-de-Parfum-23098.html","dior-hypnotic-poison-eau-de-parfum","",NEW_WRITE
W05,94,"Giorgio Armani","Armani Prive Rouge Malachite","/perfume/Giorgio-Armani/Armani-Prive-Rouge-Malachite-34589.html","giorgio-armani-armani-prive-rouge-malachite","giorgio-armani-my-way",OK_EXISTING
W05,95,"Calvin Klein","Obsession","/perfume/Calvin-Klein/Obsession-248.html","calvin-klein-obsession","",NEW_WRITE
W05,96,"Xerjoff","Dama Bianca","/perfume/Xerjoff/Dama-Bianca-15555.html","xerjoff-dama-bianca","xerjoff-erba-pura",OK_EXISTING
W05,97,"Guerlain","Champs Elysees Eau de Parfum","/perfume/Guerlain/Champs-Elysees-Eau-de-Parfum-25330.html","guerlain-champs-elysees-eau-de-parfum","",NEW_WRITE
W05,98,"Narciso Rodriguez","Musc Noir Rose For Her","/perfume/Narciso-Rodriguez/Musc-Noir-Rose-For-Her-71596.html","narciso-rodriguez-musc-noir-rose-for-her","narciso-rodriguez-for-her-edp",OK_EXISTING
W05,99,"Tom Ford","Lost Cherry","/perfume/Tom-Ford/Lost-Cherry-51411.html","tom-ford-lost-cherry","tom-ford-noir-extreme",OK_EXISTING
W05,100,"Chanel","Coco Mademoiselle Intense","/perfume/Chanel/Coco-Mademoiselle-Intense-48310.html","chanel-coco-mademoiselle-intense","chanel-coco-mademoiselle-edp",OK_EXISTING
